当日涨幅,场景描述,时间段,涨概率,跌概率,平概率,样本数
3-5,今天3-5%，明天概率情况,竞价,0.0,100.0,0.0,2
3-5,今天3-5%，明天概率情况,1分钟,0.0,100.0,0.0,2
3-5,今天3-5%，明天概率情况,5分钟,0.0,100.0,0.0,2
3-5,今天3-5%，明天概率情况,15分钟,0.0,100.0,0.0,2
3-5,今天3-5%，明天概率情况,30分钟,0.0,100.0,0.0,2
3-5,今天3-5%，明天概率情况,1小时,0.0,100.0,0.0,2
1-3,今天1-3%，明天概率情况,竞价,0.0,100.0,0.0,5
1-3,今天1-3%，明天概率情况,1分钟,0.0,100.0,0.0,5
1-3,今天1-3%，明天概率情况,5分钟,0.0,100.0,0.0,5
1-3,今天1-3%，明天概率情况,15分钟,0.0,100.0,0.0,5
1-3,今天1-3%，明天概率情况,30分钟,0.0,100.0,0.0,5
1-3,今天1-3%，明天概率情况,1小时,0.0,100.0,0.0,5
7-9,今天7-9%，明天概率情况,竞价,0.0,100.0,0.0,1
7-9,今天7-9%，明天概率情况,1分钟,0.0,100.0,0.0,1
7-9,今天7-9%，明天概率情况,5分钟,0.0,100.0,0.0,1
7-9,今天7-9%，明天概率情况,15分钟,0.0,100.0,0.0,1
7-9,今天7-9%，明天概率情况,30分钟,0.0,100.0,0.0,1
7-9,今天7-9%，明天概率情况,1小时,0.0,100.0,0.0,1
5-7,今天5-7%，明天概率情况,竞价,50.0,50.0,0.0,2
5-7,今天5-7%，明天概率情况,1分钟,50.0,50.0,0.0,2
5-7,今天5-7%，明天概率情况,5分钟,50.0,50.0,0.0,2
5-7,今天5-7%，明天概率情况,15分钟,50.0,50.0,0.0,2
5-7,今天5-7%，明天概率情况,30分钟,50.0,50.0,0.0,2
5-7,今天5-7%，明天概率情况,1小时,50.0,50.0,0.0,2
limit_down,今天跌停(跌幅<=-5%)，第二天概率情况,竞价,100.0,0.0,0.0,2
limit_down,今天跌停(跌幅<=-5%)，第二天概率情况,1分钟,100.0,0.0,0.0,2
limit_down,今天跌停(跌幅<=-5%)，第二天概率情况,5分钟,100.0,0.0,0.0,2
limit_down,今天跌停(跌幅<=-5%)，第二天概率情况,15分钟,100.0,0.0,0.0,2
limit_down,今天跌停(跌幅<=-5%)，第二天概率情况,30分钟,100.0,0.0,0.0,2
limit_down,今天跌停(跌幅<=-5%)，第二天概率情况,1小时,100.0,0.0,0.0,2
micro_up,今天微涨(涨幅<1%)，第二天概率情况,竞价,0.0,66.67,33.33,3
micro_up,今天微涨(涨幅<1%)，第二天概率情况,1分钟,33.33,66.67,0.0,3
micro_up,今天微涨(涨幅<1%)，第二天概率情况,5分钟,33.33,66.67,0.0,3
micro_up,今天微涨(涨幅<1%)，第二天概率情况,15分钟,33.33,66.67,0.0,3
micro_up,今天微涨(涨幅<1%)，第二天概率情况,30分钟,33.33,66.67,0.0,3
micro_up,今天微涨(涨幅<1%)，第二天概率情况,1小时,33.33,66.67,0.0,3
涨停,今天涨停(涨幅>=7%)，第二天概率情况,竞价,0.0,100.0,0.0,4
涨停,今天涨停(涨幅>=7%)，第二天概率情况,1分钟,0.0,100.0,0.0,4
涨停,今天涨停(涨幅>=7%)，第二天概率情况,5分钟,0.0,100.0,0.0,4
涨停,今天涨停(涨幅>=7%)，第二天概率情况,15分钟,0.0,100.0,0.0,4
涨停,今天涨停(涨幅>=7%)，第二天概率情况,30分钟,0.0,100.0,0.0,4
涨停,今天涨停(涨幅>=7%)，第二天概率情况,1小时,0.0,100.0,0.0,4
medium_down,今天中跌(跌幅<-3%)，第二天概率情况,竞价,100.0,0.0,0.0,1
medium_down,今天中跌(跌幅<-3%)，第二天概率情况,1分钟,100.0,0.0,0.0,1
medium_down,今天中跌(跌幅<-3%)，第二天概率情况,5分钟,100.0,0.0,0.0,1
medium_down,今天中跌(跌幅<-3%)，第二天概率情况,15分钟,100.0,0.0,0.0,1
medium_down,今天中跌(跌幅<-3%)，第二天概率情况,30分钟,100.0,0.0,0.0,1
medium_down,今天中跌(跌幅<-3%)，第二天概率情况,1小时,100.0,0.0,0.0,1
small_down,今天小跌(跌幅<-1%)，第二天概率情况,竞价,50.0,50.0,0.0,2
small_down,今天小跌(跌幅<-1%)，第二天概率情况,1分钟,50.0,50.0,0.0,2
small_down,今天小跌(跌幅<-1%)，第二天概率情况,5分钟,50.0,50.0,0.0,2
small_down,今天小跌(跌幅<-1%)，第二天概率情况,15分钟,50.0,50.0,0.0,2
small_down,今天小跌(跌幅<-1%)，第二天概率情况,30分钟,50.0,50.0,0.0,2
small_down,今天小跌(跌幅<-1%)，第二天概率情况,1小时,50.0,50.0,0.0,2
