当日涨幅,场景描述,时间段,涨概率,跌概率,平概率,样本数
3-5,今天3-5%，明天概率情况,竞价,26.67,73.33,0.0,15
3-5,今天3-5%，明天概率情况,1分钟,13.33,86.67,0.0,15
3-5,今天3-5%，明天概率情况,5分钟,13.33,86.67,0.0,15
3-5,今天3-5%，明天概率情况,15分钟,13.33,86.67,0.0,15
3-5,今天3-5%，明天概率情况,30分钟,13.33,86.67,0.0,15
3-5,今天3-5%，明天概率情况,1小时,13.33,86.67,0.0,15
1-3,今天1-3%，明天概率情况,竞价,23.81,76.19,0.0,21
1-3,今天1-3%，明天概率情况,1分钟,14.29,85.71,0.0,21
1-3,今天1-3%，明天概率情况,5分钟,14.29,85.71,0.0,21
1-3,今天1-3%，明天概率情况,15分钟,14.29,85.71,0.0,21
1-3,今天1-3%，明天概率情况,30分钟,14.29,85.71,0.0,21
1-3,今天1-3%，明天概率情况,1小时,14.29,85.71,0.0,21
7-9,今天7-9%，明天概率情况,竞价,0.0,100.0,0.0,3
7-9,今天7-9%，明天概率情况,1分钟,0.0,100.0,0.0,3
7-9,今天7-9%，明天概率情况,5分钟,0.0,100.0,0.0,3
7-9,今天7-9%，明天概率情况,15分钟,0.0,100.0,0.0,3
7-9,今天7-9%，明天概率情况,30分钟,0.0,100.0,0.0,3
7-9,今天7-9%，明天概率情况,1小时,0.0,100.0,0.0,3
5-7,今天5-7%，明天概率情况,竞价,25.0,75.0,0.0,4
5-7,今天5-7%，明天概率情况,1分钟,25.0,75.0,0.0,4
5-7,今天5-7%，明天概率情况,5分钟,25.0,75.0,0.0,4
5-7,今天5-7%，明天概率情况,15分钟,25.0,75.0,0.0,4
5-7,今天5-7%，明天概率情况,30分钟,25.0,75.0,0.0,4
5-7,今天5-7%，明天概率情况,1小时,25.0,75.0,0.0,4
limit_down,今天跌停(跌幅<=-5%)，第二天概率情况,竞价,100.0,0.0,0.0,9
limit_down,今天跌停(跌幅<=-5%)，第二天概率情况,1分钟,100.0,0.0,0.0,9
limit_down,今天跌停(跌幅<=-5%)，第二天概率情况,5分钟,100.0,0.0,0.0,9
limit_down,今天跌停(跌幅<=-5%)，第二天概率情况,15分钟,100.0,0.0,0.0,9
limit_down,今天跌停(跌幅<=-5%)，第二天概率情况,30分钟,100.0,0.0,0.0,9
limit_down,今天跌停(跌幅<=-5%)，第二天概率情况,1小时,100.0,0.0,0.0,9
micro_up,今天微涨(涨幅<1%)，第二天概率情况,竞价,55.56,38.89,5.56,18
micro_up,今天微涨(涨幅<1%)，第二天概率情况,1分钟,44.44,55.56,0.0,18
micro_up,今天微涨(涨幅<1%)，第二天概率情况,5分钟,44.44,55.56,0.0,18
micro_up,今天微涨(涨幅<1%)，第二天概率情况,15分钟,44.44,55.56,0.0,18
micro_up,今天微涨(涨幅<1%)，第二天概率情况,30分钟,44.44,55.56,0.0,18
micro_up,今天微涨(涨幅<1%)，第二天概率情况,1小时,44.44,55.56,0.0,18
涨停,今天涨停(涨幅>=7%)，第二天概率情况,竞价,0.0,100.0,0.0,8
涨停,今天涨停(涨幅>=7%)，第二天概率情况,1分钟,0.0,100.0,0.0,8
涨停,今天涨停(涨幅>=7%)，第二天概率情况,5分钟,0.0,100.0,0.0,8
涨停,今天涨停(涨幅>=7%)，第二天概率情况,15分钟,0.0,100.0,0.0,8
涨停,今天涨停(涨幅>=7%)，第二天概率情况,30分钟,0.0,100.0,0.0,8
涨停,今天涨停(涨幅>=7%)，第二天概率情况,1小时,0.0,100.0,0.0,8
medium_down,今天中跌(跌幅<-3%)，第二天概率情况,竞价,71.43,28.57,0.0,14
medium_down,今天中跌(跌幅<-3%)，第二天概率情况,1分钟,78.57,21.43,0.0,14
medium_down,今天中跌(跌幅<-3%)，第二天概率情况,5分钟,78.57,21.43,0.0,14
medium_down,今天中跌(跌幅<-3%)，第二天概率情况,15分钟,78.57,21.43,0.0,14
medium_down,今天中跌(跌幅<-3%)，第二天概率情况,30分钟,78.57,21.43,0.0,14
medium_down,今天中跌(跌幅<-3%)，第二天概率情况,1小时,78.57,21.43,0.0,14
small_down,今天小跌(跌幅<-1%)，第二天概率情况,竞价,56.25,43.75,0.0,16
small_down,今天小跌(跌幅<-1%)，第二天概率情况,1分钟,56.25,37.5,6.25,16
small_down,今天小跌(跌幅<-1%)，第二天概率情况,5分钟,56.25,37.5,6.25,16
small_down,今天小跌(跌幅<-1%)，第二天概率情况,15分钟,56.25,37.5,6.25,16
small_down,今天小跌(跌幅<-1%)，第二天概率情况,30分钟,56.25,37.5,6.25,16
small_down,今天小跌(跌幅<-1%)，第二天概率情况,1小时,56.25,37.5,6.25,16
large_down,今天大跌(跌幅<-5%)，第二天概率情况,竞价,83.33,16.67,0.0,6
large_down,今天大跌(跌幅<-5%)，第二天概率情况,1分钟,83.33,16.67,0.0,6
large_down,今天大跌(跌幅<-5%)，第二天概率情况,5分钟,83.33,16.67,0.0,6
large_down,今天大跌(跌幅<-5%)，第二天概率情况,15分钟,83.33,16.67,0.0,6
large_down,今天大跌(跌幅<-5%)，第二天概率情况,30分钟,83.33,16.67,0.0,6
large_down,今天大跌(跌幅<-5%)，第二天概率情况,1小时,83.33,16.67,0.0,6
flat,今天平开(涨幅=0%)，第二天概率情况,竞价,100.0,0.0,0.0,1
